M	ENTITY/.arpa	ENTITY/InterNIC
M	ENTITY/ACM_Multimedia	ENTITY/ACM_SIGOPS
M	ENTITY/ACM_Multimedia	ENTITY/Association_for_Computing_Machinery
M	ENTITY/ACM_Multimedia	ENTITY/Raghu_Ramakrishnan
M	ENTITY/ACM_Multimedia	ENTITY/SIGMETRICS
M	ENTITY/ACM_Multimedia	ENTITY/SIGMOD
M	ENTITY/ACM_Multimedia	ENTITY/SIGSOFT
M	ENTITY/ACM_Multimedia	ENTITY/Symposium_on_Operating_Systems_Principles
M	ENTITY/ACM_Multimedia	ENTITY/Symposium_on_Theory_of_Computing
M	ENTITY/ACM_Multimedia	ENTITY/VLDB
M	ENTITY/ACM_Multimedia	asplos
M	ENTITY/ACM_SIGOPS	ENTITY/Association_for_Computing_Machinery
M	ENTITY/ACM_SIGOPS	ENTITY/Greg_Morrisett
M	ENTITY/ACM_SIGOPS	ENTITY/IEEE_Computer_Society
M	ENTITY/ACM_SIGOPS	ENTITY/James_Larus
M	ENTITY/ACM_SIGOPS	ENTITY/Jayadev_Misra
M	ENTITY/ACM_SIGOPS	ENTITY/Raghu_Ramakrishnan
M	ENTITY/ACM_SIGOPS	ENTITY/SIGMETRICS
M	ENTITY/ACM_SIGOPS	ENTITY/SIGPLAN
M	ENTITY/ACM_SIGOPS	ENTITY/SIGSOFT
M	ENTITY/ACM_SIGOPS	ENTITY/Symposium_on_Operating_Systems_Principles
M	ENTITY/ACM_SIGOPS	ENTITY/Symposium_on_Theory_of_Computing
M	ENTITY/ACM_SIGOPS	asplos
M	ENTITY/Algorithm	ENTITY/Dynamic_problem_(algorithms)
M	ENTITY/Algorithm	algorithmic
M	ENTITY/Algorithm	algorithms
M	ENTITY/Algorithm	computation
M	ENTITY/Algorithm	probabilistic
M	ENTITY/AltaVista	ENTITY/MetaCrawler
M	ENTITY/AltaVista	ENTITY/Web_search_engine
M	ENTITY/Amit_Singhal	ENTITY/Gerard_Salton
M	ENTITY/Amit_Singhal	ENTITY/Raghu_Ramakrishnan
M	ENTITY/Anna_Karlin	ENTITY/Carl_Ebeling
M	ENTITY/Anna_Karlin	ENTITY/Dexter_Kozen
M	ENTITY/Anna_Karlin	ENTITY/Distributed_shared_memory
M	ENTITY/Anna_Karlin	ENTITY/Dynamic_problem_(algorithms)
M	ENTITY/Anna_Karlin	ENTITY/James_Larus
M	ENTITY/Anna_Karlin	ENTITY/Jayadev_Misra
M	ENTITY/Anna_Karlin	ENTITY/Oren_Etzioni
