M	ENTITY/Protein	ENTITY/Gene
M	ENTITY/Statistical_model	ENTITY/Bayesian_statistics
M	ENTITY/Statistical_model	ENTITY/Statistical_hypothesis_testing
M	ENTITY/Statistical_model	ENTITY/Model_selection
M	ENTITY/Statistical_model	ENTITY/Regression_analysis
M	ENTITY/Statistical_model	ENTITY/Statistical_inference
M	ENTITY/Statistical_model	ENTITY/Linear_regression
M	ENTITY/Hidden_Markov_model	ENTITY/Markov_chain
M	ENTITY/Hidden_Markov_model	ENTITY/Conditional_independence
M	ENTITY/Hidden_Markov_model	ENTITY/C4.5_algorithm
M	ENTITY/Hidden_Markov_model	ENTITY/Ensemble_learning
M	ENTITY/Hidden_Markov_model	ENTITY/Kernel_method
M	ENTITY/Gibbs_sampling	ENTITY/Bayesian_statistics
M	ENTITY/Gibbs_sampling	ENTITY/Training,_test,_and_validation_sets
M	ENTITY/Gibbs_sampling	ENTITY/Markov_chain_Monte_Carlo
M	ENTITY/Gibbs_sampling	ENTITY/Sample_complexity
M	ENTITY/Gibbs_sampling	ENTITY/Generalization_error
M	ENTITY/Gibbs_sampling	ENTITY/Conditional_independence
M	ENTITY/Gibbs_sampling	ENTITY/Simulated_annealing
M	ENTITY/Gibbs_sampling	ENTITY/Multilayer_perceptron
M	ENTITY/Gibbs_sampling	ENTITY/Inductive_logic_programming
M	ENTITY/Gibbs_sampling	ENTITY/Gaussian_process
M	ENTITY/Gibbs_sampling	ENTITY/Minimum_description_length
M	ENTITY/Gibbs_sampling	ENTITY/Posterior_probability
M	ENTITY/Gibbs_sampling	ENTITY/C4.5_algorithm
M	ENTITY/Gibbs_sampling	ENTITY/Ensemble_learning
M	ENTITY/Gibbs_sampling	ENTITY/Leo_Breiman
M	ENTITY/Gibbs_sampling	ENTITY/Joint_probability_distribution
M	ENTITY/Gibbs_sampling	ENTITY/AdaBoost
M	ENTITY/Gibbs_sampling	ENTITY/Boltzmann_machine
M	ENTITY/Gibbs_sampling	ENTITY/Markov_decision_process
M	ENTITY/Gibbs_sampling	ENTITY/Kernel_method
M	ENTITY/Gibbs_sampling	ENTITY/Early_stopping
M	ENTITY/Gibbs_sampling	ENTITY/Stochastic_optimization
M	ENTITY/Convex_optimization	ENTITY/Function_approximation
M	ENTITY/Convex_optimization	ENTITY/VC_dimension
M	ENTITY/Convex_optimization	ENTITY/Sample_complexity
