M	electromagnetic	ENTITY/Magnetic_field
M	simulation	ENTITY/Computer_simulation
M	simulation	ENTITY/Molecular_dynamics
M	simulation	ENTITY/Simulation
M	data	ENTITY/Data_mining
M	theory	ENTITY/Decision_theory
M	theory	ENTITY/Quantum_mechanics
M	theory	ENTITY/Quantum_field_theory
M	theory	ENTITY/String_theory
M	agriculture	ENTITY/Agronomy
M	crops	ENTITY/Crop_yield
M	crop	ENTITY/Crop_yield
M	yield	ENTITY/Crop_yield
M	ENTITY/Remote_sensing	sensing
M	carbon	ENTITY/Carbon_dioxide
M	carbon	ENTITY/Nitrogen
M	carbon	ENTITY/Methane
M	method	ENTITY/Algorithm
M	energy	ENTITY/Energy
M	simulations	ENTITY/Computer_simulation
M	simulations	ENTITY/Molecular_dynamics
M	simulations	ENTITY/Simulation
M	optimization	ENTITY/Reinforcement_learning
M	optimization	ENTITY/Computational_intelligence
M	optimization	ENTITY/Bioinformatics
M	optimization	ENTITY/Evolutionary_computation
M	optimization	ENTITY/Algorithm
M	optimization	ENTITY/Mathematical_optimization
M	optimization	ENTITY/Evolutionary_algorithm
M	optimization	ENTITY/Regularization_(mathematics)
M	optimization	ENTITY/Machine_learning
M	optimization	ENTITY/Data_mining
M	moisture	ENTITY/Nutrient
M	ENTITY/Academic_publishing	publishing
M	ENTITY/Carbon_dioxide	emissions
M	ENTITY/Carbon_dioxide	greenhouse
M	ENTITY/Carbon_dioxide	methane
M	ENTITY/Nitrogen	methane
M	modeling	ENTITY/Computer_simulation
M	applications	ENTITY/Embedded_system
M	estimation	ENTITY/Bayesian_inference
M	estimation	ENTITY/Regularization_(mathematics)
M	regression	ENTITY/Support_vector_machine
M	regression	ENTITY/Regularization_(mathematics)
M	genetic	ENTITY/DNA
M	genetic	ENTITY/Gene_expression
M	genetic	ENTITY/Gene
M	genetic	ENTITY/Nucleic_acid_sequence
M	genetic	ENTITY/Genome
M	electron	ENTITY/Adsorption
M	productivity	ENTITY/Crop_yield
M	ENTITY/Crop_yield	yields
M	molecular	ENTITY/Molecular_dynamics
M	molecular	ENTITY/Systems_biology
M	ENTITY/Hydrogen	methane
M	engineering	ENTITY/Materials_science
M	research	ENTITY/Systems_biology
M	factors	ENTITY/Transcription_factor
M	evolution	ENTITY/Evolution
M	probabilistic	ENTITY/Probability
M	probabilistic	ENTITY/Bayesian_inference
M	probabilistic	ENTITY/Stochastic
M	probabilistic	ENTITY/Computational_intelligence
M	probabilistic	ENTITY/Biclustering
M	probabilistic	ENTITY/Hidden_Markov_model
M	probabilistic	ENTITY/Bayesian_probability
M	probabilistic	ENTITY/Boosting_(machine_learning)
M	probabilistic	ENTITY/Bayesian_network
M	probabilistic	ENTITY/Decision_theory
M	probabilistic	ENTITY/Unsupervised_learning
M	probabilistic	ENTITY/Evolutionary_computation
M	probabilistic	ENTITY/Algorithm
M	probabilistic	ENTITY/Time_series
M	probabilistic	ENTITY/Markov_chain
M	probabilistic	ENTITY/Support_vector_machine
M	probabilistic	ENTITY/Mathematical_optimization
M	probabilistic	ENTITY/Regularization_(mathematics)
M	probabilistic	ENTITY/Connectionism
M	probabilistic	ENTITY/Artificial_neural_network
M	probabilistic	ENTITY/Machine_learning
M	probabilistic	ENTITY/Data_mining
M	probabilistic	ENTITY/Perceptron
M	probabilistic	ENTITY/Logic_programming
M	probabilistic	ENTITY/Stochastic_volatility
M	probabilistic	ENTITY/Quantum_field_theory
M	dynamics	ENTITY/Molecular_dynamics
M	technology	ENTITY/Materials_science
M	pricing	ENTITY/Economic_equilibrium
M	pricing	ENTITY/Volatility_(finance)
M	pricing	ENTITY/Valuation_of_options
M	ENTITY/Bayesian_inference	nonparametric
M	ENTITY/Bayesian_inference	inference
M	ENTITY/Bayesian_inference	bayesian
M	ENTITY/Bayesian_inference	variational
M	policy	ENTITY/Monetary_policy
M	policies	ENTITY/Monetary_policy
M	sensors	ENTITY/Wireless_sensor_network
M	communication	ENTITY/Communication
M	ENTITY/Computer	computer
