M	ENTITY/Remote_sensing	ENTITY/International_Society_for_Photogrammetry_and_Remote_Sensing
M	ENTITY/Physics	ENTITY/Chemistry
M	ENTITY/Physics	ENTITY/Materials_science
M	ENTITY/Carbon_dioxide	ENTITY/Nitrogen
M	ENTITY/Carbon_dioxide	ENTITY/Hydrogen
M	ENTITY/Carbon_dioxide	ENTITY/Methane
M	ENTITY/Nitrogen	ENTITY/Hydrogen
M	ENTITY/Nitrogen	ENTITY/Nutrient
M	ENTITY/Nitrogen	ENTITY/Silicon_dioxide
M	ENTITY/Nitrogen	ENTITY/Adsorption
M	ENTITY/Nitrogen	ENTITY/Methane
M	ENTITY/Hydrogen	ENTITY/Adsorption
M	ENTITY/Hydrogen	ENTITY/Methane
M	ENTITY/International_Society_for_Photogrammetry_and_Remote_Sensing	ENTITY/Computational_intelligence
M	ENTITY/International_Society_for_Photogrammetry_and_Remote_Sensing	ENTITY/Institute_of_Electrical_and_Electronics_Engineers
M	ENTITY/Probability	ENTITY/Stochastic
M	ENTITY/Probability	ENTITY/Bayesian_probability
M	ENTITY/Probability	ENTITY/Decision_theory
M	ENTITY/Digital_object_identifier	ENTITY/International_Standard_Serial_Number
M	ENTITY/Bayesian_inference	ENTITY/Biclustering
M	ENTITY/Bayesian_inference	ENTITY/Hidden_Markov_model
M	ENTITY/Bayesian_inference	ENTITY/Bayesian_probability
M	ENTITY/Bayesian_inference	ENTITY/Boosting_(machine_learning)
M	ENTITY/Bayesian_inference	ENTITY/Bayesian_network
M	ENTITY/Bayesian_inference	ENTITY/Decision_theory
M	ENTITY/Bayesian_inference	ENTITY/Inference
M	ENTITY/Bayesian_inference	ENTITY/Unsupervised_learning
M	ENTITY/Bayesian_inference	ENTITY/Time_series
M	ENTITY/Bayesian_inference	ENTITY/Support_vector_machine
M	ENTITY/Bayesian_inference	ENTITY/Regularization_(mathematics)
M	ENTITY/Bayesian_inference	ENTITY/Connectionism
M	ENTITY/Bayesian_inference	ENTITY/Machine_learning
M	ENTITY/Stochastic	ENTITY/Markov_chain
